artist,subscribers,browseId,link
Kathleen Battle,2,MPLAUCgofr_E_f46e5DA8P5te3QQ,https://music.youtube.com/browse/MPLAUCgofr_E_f46e5DA8P5te3QQ
André Previn,8,MPLAUCm4TN69kuXR-b-ZJUHtauDQ,https://music.youtube.com/browse/MPLAUCm4TN69kuXR-b-ZJUHtauDQ
Wynton Marsalis,3,MPLAUCzWGLXcvQlN_VMWJes9VYyw,https://music.youtube.com/browse/MPLAUCzWGLXcvQlN_VMWJes9VYyw
Frederica von Stade,2,MPLAUCrrMqS5Tb3w9hbF1C3D60NA,https://music.youtube.com/browse/MPLAUCrrMqS5Tb3w9hbF1C3D60NA
Gillian Welch,5,MPLAUCNjtIV6r0npGavRLS2u77UA,https://music.youtube.com/browse/MPLAUCNjtIV6r0npGavRLS2u77UA
Cowboy Junkies,1,MPLAUCA3yc69zhGL0TmBo-w9PPzg,https://music.youtube.com/browse/MPLAUCA3yc69zhGL0TmBo-w9PPzg
Mississippi John Hurt,44,MPLAUCDEcORxYIZA2yV7UjlBIuEg,https://music.youtube.com/browse/MPLAUCDEcORxYIZA2yV7UjlBIuEg
Jerry Garcia,71,MPLAUCGZ-ePa-J8bm_TfglDQYWkg,https://music.youtube.com/browse/MPLAUCGZ-ePa-J8bm_TfglDQYWkg
David Grisman,316,MPLAUCh8t9xNgcxHZ2K89-NhMcJg,https://music.youtube.com/browse/MPLAUCh8t9xNgcxHZ2K89-NhMcJg
Cosmo Sheldrake,42,MPLAUC0ViAcXAv9wn5UiQWY1T_Iw,https://music.youtube.com/browse/MPLAUC0ViAcXAv9wn5UiQWY1T_Iw
Mechanical Me,5,MPLAUCbJZirV_57XkTqL8BtkyGTA,https://music.youtube.com/browse/MPLAUCbJZirV_57XkTqL8BtkyGTA
Colter Wall,10,MPLAUCDv9wpsEskQ7jVXbTLxkT1Q,https://music.youtube.com/browse/MPLAUCDv9wpsEskQ7jVXbTLxkT1Q
The Local Honeys,10,MPLAUCt2P6mpIt04iUlWdAJO52nA,https://music.youtube.com/browse/MPLAUCt2P6mpIt04iUlWdAJO52nA
Sir Doug & The Texas Tornados,1,MPLAUCif0flcFkydlXEv7IRnJ84g,https://music.youtube.com/browse/MPLAUCif0flcFkydlXEv7IRnJ84g
The Morris Brothers,1,MPLAUC9LTdWgXHb7nkHTNAgQlP6Q,https://music.youtube.com/browse/MPLAUC9LTdWgXHb7nkHTNAgQlP6Q
Alfred G. Karnes,1,MPLAUCG0eVh3jn1_Jef03LEAQuAg,https://music.youtube.com/browse/MPLAUCG0eVh3jn1_Jef03LEAQuAg
Ernest V. Stoneman and His Dixie Mountaineers,1,MPLAUCfkhSwmnP-u6o5VCSFw1eTw,https://music.youtube.com/browse/MPLAUCfkhSwmnP-u6o5VCSFw1eTw
Jim Eanes,2,MPLAUCnjiq001UGS6mUl98x4c9ow,https://music.youtube.com/browse/MPLAUCnjiq001UGS6mUl98x4c9ow
Joe & Rose Lee Maphis,1,MPLAUCJzrqtqSfpht_Ilpy9Ymtog,https://music.youtube.com/browse/MPLAUCJzrqtqSfpht_Ilpy9Ymtog
The Carter Family,4,MPLAUCv_9IkaKaqx0JiGT4AhUc7Q,https://music.youtube.com/browse/MPLAUCv_9IkaKaqx0JiGT4AhUc7Q
Dick Damron,1,MPLAUCYdFwRfBX4ZVvBgA-ZsrTMg,https://music.youtube.com/browse/MPLAUCYdFwRfBX4ZVvBgA-ZsrTMg
