videoId,title,artists,album,duration,duration_seconds,first_seen,last_seen,times_recommended,latest_position,likeStatus,inLibrary
T73HGa68puc,Like That,"Sariass, Simcourbe, Zuka",PINKY PROMISE,2:05,125,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,61,INDIFFERENT,False
OW7AA72CUVs,Undercurrent (Klangsberg Remix),Tony Anderson,Undercurrent,5:15,315,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,62,INDIFFERENT,False
uSWINd3vt-Q,Stand in Your Skin,Bleeding Strings,Stand in Your Skin,4:49,289,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,63,INDIFFERENT,False
3hLM686LuX0,New Elegies,The Figs,New Elegies,2:14,134,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,64,INDIFFERENT,False
24h7f8TLw5c,Urbia,The Molotovs,Urbia,2:56,176,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,65,INDIFFERENT,False
KCBHuavJ3EQ,They Will Bury Me A Woman,rainyholmes,They Will Bury Me A Woman,2:57,177,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,66,INDIFFERENT,False
ANBbt20ymRY,Front Row at 5 PM,Hinotoriprojekt,La Suite,3:50,230,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,67,INDIFFERENT,False
822BJw1lzkM,Love Is The Dance (Ivory Remix),"RY X, Âme",Love Is The Dance (Ivory Remix),5:37,337,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,68,INDIFFERENT,False
2rhgcu8P8MM,close to you,ceeto,close to you,2:13,133,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,69,INDIFFERENT,False
m__KXFoKkFk,Circles,Pegassi,Ascension EP,3:19,199,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,70,INDIFFERENT,False
rTt83GQ7aP4,FREAKED OUT FUNK,szymeksy,FREAKED OUT FUNK,2:03,123,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,71,INDIFFERENT,False
wYDyiy0KR-M,Back to Us,Elysia Vale,Back to Us,3:57,237,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,72,INDIFFERENT,False
lbml2qnAeUo,Call It What You Want,Fat Dog,Cancel Me (I'm Tired),3:01,181,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,73,INDIFFERENT,False
O97xj4uWhdw,Under Offer,Arab Strap,Half-Told Tales,2:37,157,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,74,INDIFFERENT,False
eQ_1oRFCRQs,I Will Not Break (Slowed),ST0RMH4WK,I Will Not Break,1:47,107,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,75,INDIFFERENT,False
XZrJ9A91xuc,Hurts (Extended Mix),Vibfy,Hurts (Extended Mix),3:55,235,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,76,INDIFFERENT,False
b2qxiYv2pKQ,vs the world,confetti,vs the world,2:18,138,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,77,INDIFFERENT,False
I_f0Dvd3RNM,Buried Treasure,The Oak Ridge Boys,Buried Treasure,2:39,159,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,78,INDIFFERENT,False
MJr6-PjVVOo,Prescription,Niko DeMille,Prescription,2:35,155,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,79,INDIFFERENT,False
wIziFWbzO8k,Heart Like Heaven (Live),Matt Crocker,Heart Like Heaven (Live),6:02,362,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,80,INDIFFERENT,False
S1wT0DHzON4,Not like the others,Northbound Blues,Not like the others,3:28,208,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,81,INDIFFERENT,False
Wnzt-tKsn94,WAR AND GRACE (432 Hz),4EM Dimension,WAR AND GRACE (432 Hz),4:12,252,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,82,INDIFFERENT,False
XOhEkvmdRjg,anticristo,BB ASUL,miss universo,5:05,305,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,83,INDIFFERENT,False
lcuqZESp1Kw,Stick Together,"Pokey LaFarge, Hank Mehren, Elliot Bergman, Natalie Bergman, Addie Hamilton, Nicholas Baker, Erik Miron, and Alex Hall",Rent Money,3:25,205,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,84,INDIFFERENT,False
Qi3IPJOXBvo,More Than a Look,Solpulse,More Than a Look,3:42,222,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,85,INDIFFERENT,False
